,state,coc,new_homeless,existing,return_from_PH,total_count,exit_to_unknown,total_exiting_to_PH,remain,total_exiting,%_successful_exit
331,TN,Memphis/Shelby County CoC,1822,178.0,419.0,2419.0,863.0,2121.0,-565.0,2984.0,1.406883545497407
332,TN,Knoxville/Knox County CoC,2667,-364.0,161.0,2464.0,323.0,760.0,1381.0,1083.0,1.425
333,TN,Central Tennessee CoC,550,75.0,79.0,704.0,282.0,249.0,173.0,531.0,2.1325301204819276
334,TN,Nashville-Davidson County CoC,1180,-353.0,168.0,995.0,268.0,546.0,181.0,814.0,1.4908424908424909
335,TN,Upper Cumberland CoC,417,-160.0,22.0,279.0,246.0,176.0,-143.0,422.0,2.397727272727273
336,TN,Jackson/West Tennessee CoC,395,-163.0,51.0,283.0,61.0,318.0,-96.0,379.0,1.1918238993710693
337,TN,Appalachian Regional CoC,775,12.0,82.0,869.0,597.0,299.0,-27.0,896.0,2.9966555183946486
338,TN,Murfreesboro/Rutherford County CoC,487,43.0,2.0,532.0,426.0,116.0,-10.0,542.0,4.672413793103448
339,TN,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",432,-88.0,16.0,360.0,177.0,198.0,-15.0,375.0,1.893939393939394
340,TX,San Antonio/Bexar County CoC,2718,1619.0,711.0,5048.0,2112.0,1597.0,1339.0,3709.0,2.322479649342517
341,TX,Austin/Travis County CoC,2646,429.0,311.0,3386.0,1615.0,1048.0,723.0,2663.0,2.5410305343511452
342,TX,"Dallas City & County, Irving CoC",6739,2108.0,412.0,9259.0,6512.0,1642.0,1105.0,8154.0,4.965895249695493
343,TX,"Fort Worth, Arlington/Tarrant County CoC",3803,1988.0,383.0,6174.0,667.0,667.0,4840.0,1334.0,2.0
344,TX,El Paso City & County CoC,1775,606.0,414.0,2795.0,1475.0,913.0,407.0,2388.0,2.615553121577218
345,TX,Waco/McLennan County CoC,532,131.0,30.0,693.0,548.0,86.0,59.0,634.0,7.372093023255814
346,TX,Texas Balance of State CoC,7256,1256.0,781.0,9293.0,6360.0,2673.0,260.0,9033.0,3.3793490460157125
347,TX,Amarillo CoC,951,608.0,28.0,1587.0,1155.0,229.0,203.0,1384.0,6.043668122270742
348,TX,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",552,261.0,40.0,853.0,329.0,284.0,240.0,613.0,2.158450704225352
349,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",6141,225.0,1545.0,7911.0,5267.0,2270.0,374.0,7537.0,3.3202643171806168
350,TX,"Bryan, College Station/Brazos Valley CoC",462,93.0,18.0,573.0,307.0,232.0,34.0,539.0,2.3232758620689653
351,UT,Salt Lake City & County CoC,4166,2130.0,899.0,7195.0,4706.0,1760.0,729.0,6466.0,3.6738636363636363
352,UT,Utah Balance of State CoC,2850,263.0,537.0,3650.0,2509.0,1297.0,-156.0,3806.0,2.9344641480339244
353,UT,Provo/Mountainland CoC,421,-6.0,60.0,475.0,353.0,79.0,43.0,432.0,5.468354430379747
354,VA,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",1655,380.0,444.0,2479.0,1374.0,926.0,179.0,2300.0,2.4838012958963285
355,VA,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",1438,381.0,174.0,1993.0,1271.0,693.0,29.0,1964.0,2.834054834054834
356,VA,"Roanoke City & County, Salem CoC",967,359.0,189.0,1515.0,1051.0,282.0,182.0,1333.0,4.726950354609929
357,VA,Virginia Beach CoC,628,-23.0,99.0,704.0,344.0,211.0,149.0,555.0,2.6303317535545023
358,VA,Charlottesville CoC,220,61.0,44.0,325.0,174.0,75.0,76.0,249.0,3.32
359,VA,"Newport News, Hampton/Virginia Peninsula CoC",1072,110.0,105.0,1287.0,792.0,417.0,78.0,1209.0,2.8992805755395685
360,VA,Portsmouth CoC,112,17.0,14.0,143.0,104.0,39.0,0.0,143.0,3.6666666666666665
361,VA,Lynchburg CoC,407,-3.0,55.0,459.0,242.0,235.0,-18.0,477.0,2.029787234042553
362,VA,"Harrisburg, Winchester/Western Virginia CoC",654,98.0,29.0,781.0,422.0,357.0,2.0,779.0,2.1820728291316525
363,VA,"Fredericksburg/Spotsylvania, Stafford Counties CoC",442,90.0,134.0,666.0,312.0,206.0,148.0,518.0,2.5145631067961167
364,VA,Virginia Balance of State CoC,2010,-319.0,188.0,1879.0,985.0,1169.0,-275.0,2154.0,1.8426005132591958
365,VA,Arlington County CoC,473,27.0,46.0,546.0,196.0,274.0,76.0,470.0,1.7153284671532847
366,VA,Fairfax County CoC,1698,742.0,416.0,2856.0,1121.0,947.0,788.0,2068.0,2.183738120380148
367,VA,Loudoun County CoC,229,42.0,23.0,294.0,176.0,106.0,12.0,282.0,2.660377358490566
368,VA,Alexandria CoC,421,172.0,118.0,711.0,402.0,214.0,95.0,616.0,2.878504672897196
369,VA,Prince William County CoC,593,153.0,109.0,855.0,383.0,363.0,109.0,746.0,2.0550964187327825
370,VI,Virgin Islands CoC,72,13.0,6.0,91.0,40.0,11.0,40.0,51.0,4.636363636363637
371,VT,Vermont Balance of State CoC,1524,-530.0,230.0,1224.0,734.0,1069.0,-579.0,1803.0,1.686623012160898
372,VT,Burlington/Chittenden County CoC,487,101.0,49.0,637.0,397.0,326.0,-86.0,723.0,2.2177914110429446
373,WA,Seattle/King County CoC,6996,6785.0,1688.0,15469.0,8138.0,3732.0,3599.0,11870.0,3.180600214362272
374,WA,Washington Balance of State CoC,6915,2148.0,836.0,9899.0,4976.0,4987.0,-64.0,9963.0,1.997794265089232
375,WA,Spokane City & County CoC,3125,-416.0,523.0,3232.0,1855.0,1945.0,-568.0,3800.0,1.9537275064267352
376,WA,"Tacoma, Lakewood/Pierce County CoC",3471,632.0,418.0,4521.0,2793.0,1152.0,576.0,3945.0,3.4244791666666665
377,WA,Everett/Snohomish County CoC,2660,-130.0,198.0,2728.0,1525.0,842.0,361.0,2367.0,2.811163895486936
378,WA,Vancouver/Clark County CoC,1917,139.0,203.0,2259.0,1427.0,469.0,363.0,1896.0,4.042643923240938
379,WI,Wisconsin Balance of State CoC,7062,1030.0,1619.0,9711.0,5338.0,3397.0,976.0,8735.0,2.571386517515455
380,WI,Milwaukee City & County CoC,2739,952.0,555.0,4246.0,2529.0,1000.0,717.0,3529.0,3.529
381,WI,Racine City & County CoC,302,179.0,77.0,558.0,267.0,162.0,129.0,429.0,2.6481481481481484
382,WI,Madison/Dane County CoC,1467,573.0,533.0,2573.0,1067.0,545.0,961.0,1612.0,2.9577981651376146
383,WV,"Wheeling, Weirton Area CoC",223,-21.0,42.0,244.0,128.0,127.0,-11.0,255.0,2.0078740157480315
384,WV,"Huntington/Cabell, Wayne Counties CoC",567,-8.0,168.0,727.0,401.0,309.0,17.0,710.0,2.2977346278317152
385,WV,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",643,-27.0,193.0,809.0,125.0,280.0,404.0,405.0,1.4464285714285714
386,WV,West Virginia Balance of State CoC,1791,73.0,275.0,2139.0,1309.0,1031.0,-201.0,2340.0,2.2696411251212414
387,WY,Wyoming Statewide CoC,1500,8.0,550.0,2058.0,1259.0,694.0,105.0,1953.0,2.814121037463977
