,state,coc,new_homeless,existing,return_from_PH,total_count,exit_to_unknown,total_exiting_to_PH,remain,total_exiting,%_successful_exit
286,OH,"Dayton, Kettering/Montgomery County CoC",2535,1069.0,478.0,4082.0,2241.0,949.0,892.0,3190.0,3.3614330874604845
287,OH,"Akron, Barberton/Summit County CoC",927,-394.0,267.0,800.0,456.0,605.0,-261.0,1061.0,1.753719008264463
288,OH,Ohio Balance of State CoC,10146,-2015.0,2147.0,10278.0,3548.0,8108.0,-1378.0,11656.0,1.4375925012333497
289,OH,"Canton, Massillon, Alliance/Stark County CoC",830,42.0,237.0,1109.0,382.0,614.0,113.0,996.0,1.6221498371335505
290,OK,North Central Oklahoma CoC,30,353.0,33.0,416.0,54.0,82.0,280.0,136.0,1.6585365853658536
291,OK,Tulsa City & County CoC,2593,1502.0,149.0,4244.0,3226.0,563.0,455.0,3789.0,6.730017761989343
292,OK,Oklahoma City CoC,1362,-628.0,56.0,790.0,423.0,419.0,-52.0,842.0,2.009546539379475
293,OK,Oklahoma Balance of State CoC,142,-70.0,1.0,73.0,16.0,92.0,-35.0,108.0,1.173913043478261
294,OK,Norman/Cleveland County CoC,265,157.0,5.0,427.0,228.0,91.0,108.0,319.0,3.5054945054945055
295,OK,Northeast Oklahoma CoC,550,-12.0,83.0,621.0,299.0,178.0,144.0,477.0,2.6797752808988764
296,OK,Southwest Oklahoma Regional CoC,0,,,,,,,,
297,OK,Southeastern Oklahoma Regional CoC,645,-316.0,59.0,388.0,289.0,295.0,-196.0,584.0,1.9796610169491526
298,OR,"Eugene, Springfield/Lane County CoC",1918,664.0,164.0,2746.0,2002.0,413.0,331.0,2415.0,5.8474576271186445
299,OR,"Portland, Gresham/Multnomah County CoC",4913,-475.0,1443.0,5881.0,2915.0,2825.0,141.0,5740.0,2.031858407079646
300,OR,"Medford, Ashland/Jackson County CoC",1206,-172.0,66.0,1100.0,559.0,462.0,79.0,1021.0,2.20995670995671
301,OR,Central Oregon CoC,533,184.0,128.0,845.0,578.0,282.0,-15.0,860.0,3.049645390070922
302,OR,"Salem/Marion, Polk Counties CoC",1127,-124.0,24.0,1027.0,608.0,212.0,207.0,820.0,3.8679245283018866
303,OR,Oregon Balance of State CoC,3110,-1577.0,156.0,1689.0,1455.0,1430.0,-1196.0,2885.0,2.0174825174825175
304,OR,"Hillsboro, Beaverton/Washington County CoC",1279,191.0,76.0,1546.0,916.0,470.0,160.0,1386.0,2.948936170212766
305,OR,Clackamas County CoC,882,40.0,4.0,926.0,692.0,227.0,7.0,919.0,4.048458149779735
306,PA,Philadelphia CoC,8133,5161.0,711.0,14005.0,7793.0,2665.0,3547.0,10458.0,3.924202626641651
307,PA,Harrisburg/Dauphin County CoC,372,33.0,132.0,537.0,239.0,231.0,67.0,470.0,2.034632034632035
308,PA,"Upper Darby, Chester, Haverford/Delaware County CoC",751,161.0,55.0,967.0,437.0,471.0,59.0,908.0,1.9278131634819533
309,PA,"Wilkes-Barre, Hazleton/Luzerne County CoC",318,234.0,211.0,763.0,254.0,423.0,86.0,677.0,1.6004728132387707
310,PA,"Lower Merion, Norristown, Abington/Montgomery County CoC",168,135.0,202.0,505.0,153.0,283.0,69.0,436.0,1.540636042402827
311,PA,Chester County CoC,801,262.0,137.0,1200.0,401.0,600.0,199.0,1001.0,1.6683333333333332
312,PA,Reading/Berks County CoC,1066,272.0,136.0,1474.0,843.0,461.0,170.0,1304.0,2.828633405639913
313,PA,Scranton/Lackawanna County CoC,389,102.0,80.0,571.0,303.0,172.0,96.0,475.0,2.761627906976744
314,PA,Eastern Pennsylvania CoC,3623,-304.0,356.0,3675.0,1500.0,2460.0,-285.0,3960.0,1.6097560975609757
315,PA,Lancaster City & County CoC,659,505.0,132.0,1296.0,51.0,136.0,1109.0,187.0,1.375
316,PA,"Bristol, Bensalem/Bucks County CoC",559,-79.0,91.0,571.0,255.0,359.0,-43.0,614.0,1.7103064066852367
